EUNL.DE,IS3N.DE
100,0
21,0
-33,7
33,-7
-33,7
33,-7
-26,6
26,-6
-33,7
33,-7
-31,5
31,-5
-33,7
33,-7
-33,7
33,-7
-33,7
33,-7
-30,17
30,-17
-29,18
29,-18
-28,5
28,-5
-13,10
13,-10
-12,9
12,-9
-12,9
12,-9
-12,9
12,-9
-11,9
11,-9
-11,9
11,-9
-17,12
16,-12
-29,4
30,-4
-8,1
8,-1
-8,2
7,-2
-28,4
29,-4
-15,11
15,-11
-12,9
12,-9
-18,12
18,-12
-14,10
14,-10
-25,16
25,-16
-16,11
15,-11
-29,4
30,-4
-11,4
11,-4
-11,4
11,-4
-17,11
17,-11
-18,12
18,-12
-17,12
17,-12
-8,1
8,-1
-8,0
8,0
-19,12
19,-12
-18,11
18,-11
-17,10
17,-10
-16,9
15,-9
-32,4
33,-4
-6,1
5,-1
-29,2
29,-2
-33,7
33,-7
-33,7
33,-7
-33,7
33,-7
-30,13
30,-13
-33,7
33,-7
-33,7
33,-7
-33,7
33,-7
-33,7
33,-7
-33,7
33,-7
-33,6
33,-6
-33,4
33,-4
-33,7
33,-7
-33,7
33,-7
-28,5
28,-5
-25,9
25,-9
-30,19
30,-19
-20,13
20,-13
-19,11
19,-11
-19,11
19,-11
-12,2
12,-2
-10,0
10,0
-9,0
9,0
-9,0
9,0
-8,0
7,0
-29,6
29,-6
-32,6
33,-6
-17,4
17,-4
-13,1
13,-1
-12,1
12,-1
-12,1
12,-1
-22,14
22,-14
-28,4
29,-4
0,0
-5,7
3,-1
-9,9
11,-15
-9,7
9,-7
-10,3
10,-3
-9,1
9,-1
-11,2
11,-2
-9,2
9,-2
-10,3
10,-3
-11,1
11,-1
-15,2
15,-2
-12,1
12,-1
-13,1
13,-1
-13,0
13,0
-17,6
17,-6
-16,3
15,-3
-27,0
27,0
-33,7
33,-7
-25,5
25,-5
-29,13
29,-13
-33,21
33,-21
-33,20
33,-20
-33,20
33,-20
-30,18
29,-18
-24,1
24,-1
-32,7
32,-7
-29,6
29,-6
-33,7
33,-7
-33,7
33,-7
-32,6
32,-6
-33,7
33,-7
-33,7
34,-7
-24,7
24,-7
-33,7
32,-7
-27,8
27,-8
-29,18
29,-18
-22,8
22,-8
-22,6
22,-6
-16,6
16,-6
-19,11
19,-11
-19,4
19,-4
-17,4
16,-4
-24,0
24,0
-32,7
32,-7
-26,9
26,-9
-29,8
29,-8
-25,9
25,-9
-26,9
26,-9
-25,9
25,-9
-25,9
25,-9
-22,6
22,-6
-21,5
20,-5
-22,0
22,0
-29,1
29,-1
-32,4
33,-4
-11,0
11,0
-16,0
16,0
-18,4
18,-4
-15,0
15,0
-18,4
18,-4
-10,0
10,0
-17,4
16,-4
-22,0
23,0
-18,3
18,-3
-18,1
18,-1
-25,7
25,-7
-23,6
23,-6
-18,2
18,-2
-18,4
18,-4
-17,3
17,-3
-17,4
17,-4
-25,5
25,-5
-10,0
10,0
-10,0
10,0
-28,6
28,-6
-18,0
19,0
-8,0
8,0
-19,1
19,-1
-8,0
8,0
-9,0
9,0
-10,0
10,0
-10,0
10,0
-10,0
10,0
-14,0
14,0
-10,0
10,0
-8,0
8,0
-21,0
20,0
-18,0
18,0
-9,1
9,-1
-22,3
22,-3
-29,3
29,-3
-12,0
12,0
-11,0
11,0
-13,0
13,0
-15,0
15,0
-14,1
14,-1
-25,11
25,-11
-16,3
16,-3
-13,2
13,-2
-17,3
17,-3
-16,1
16,-1
-24,6
24,-6
-15,1
15,-1
-24,7
24,-7
-23,6
23,-6
-23,6
23,-6
-24,7
24,-7
-24,8
24,-8
-33,7
33,-7
-24,5
24,-5
-26,6
26,-6
-25,7
25,-7
-17,3
17,-3
-17,4
17,-4
-17,3
17,-3
-17,4
17,-4
-20,7
20,-7
-21,8
21,-8
-17,3
17,-3
-16,3
16,-3
-27,12
27,-12
-23,6
23,-6
-33,7
33,-7
-23,6
23,-6
-32,19
32,-19
-20,5
20,-5
-33,7
33,-7
-33,6
33,-6
-33,7
33,-7
-33,7
33,-7
-29,8
29,-8
-33,7
33,-7
-33,7
33,-7
-25,7
25,-7
-29,8
29,-8
-23,8
23,-8
-22,6
22,-6
-33,7
33,-7
-23,6
23,-6
-28,9
28,-9
-19,4
19,-4
-19,4
19,-4
-33,15
32,-15
-24,6
24,-6
-27,6
27,-6
-24,6
24,-6
-27,6
27,-6
-25,6
25,-6
-31,7
31,-7
-33,7
33,-7
-22,8
22,-8
-32,7
32,-7
-24,5
24,-5
-22,0
22,0
-29,8
29,-8
-33,7
33,-7
-31,13
31,-13
-31,12
31,-12
-33,14
33,-14
-23,7
23,-7
-33,7
33,-7
-17,3
16,-3
-22,0
22,0
-21,0
22,0
-22,3
22,-3
-10,0
10,0
-17,3
16,-3
-24,0
24,0
-33,7
33,-7
-33,7
33,-7
-32,7
32,-7
-33,7
33,-7
-33,6
33,-6
-20,0
21,0
-10,0
9,0
-21,0
21,0
-22,0
22,0
-22,0
22,0
-22,0
22,0
-24,6
24,-6
-24,4
24,-4
-24,4
25,-4
-20,5
20,-5
-19,4
19,-4
-24,0
24,0
-17,4
17,-4
-18,2
18,-2
-15,0
15,0
-16,3
16,-3
-17,3
17,-3
-27,0
27,0
-20,4
20,-4
-15,0
15,0
-13,0
13,0
-20,5
20,-5
-20,5
20,-5
-25,4
25,-4
-20,5
20,-5
-14,0
14,0
-24,7
24,-7
-29,10
29,-10
-10,0
10,0
-10,0
10,0
-11,0
11,0
-11,0
11,0
-26,8
26,-8
-25,8
25,-8
-30,4
30,-4
-26,8
25,-8
-13,0
13,0
-15,0
15,0
-17,0
17,0
-20,0
20,0
-24,5
24,-5
-32,7
32,-7
-33,7
33,-7
-27,9
27,-9
-27,9
27,-9
-26,9
26,-9
-26,9
26,-9
-25,5
25,-5
-25,6
25,-6
-24,7
24,-7
-21,6
21,-6
-13,0
13,0
-21,6
20,-6
-24,6
24,-6
-21,0
21,0
-23,5
23,-5
-24,6
24,-6
-22,2
22,-2
-11,0
12,0
-13,0
13,0
-13,0
12,0
-11,0
11,0
-13,0
13,0
-16,0
17,0
-13,0
13,0
-13,0
13,0
-13,0
13,0
-13,0
13,0
-20,4
20,-4
-13,0
12,0
-8,0
8,0
-8,0
8,0
-9,0
10,0
-13,0
13,0
-13,0
13,0
-13,0
13,0
-12,0
12,0
-23,6
23,-6
-12,0
12,0
-13,0
13,0
-13,0
13,0
-13,0
13,0
-13,0
13,0
-13,0
13,0
-13,0
13,0
-24,7
24,-7
-24,7
24,-7
-24,7
24,-7
-13,0
13,0
-13,0
13,0
-13,0
13,0
