Split,Strategie,Endwert,CAGR,Vola,Sharpe,Sortino,MaxDD,Orders,Gebuehren
test,1/N Buy & Hold,1417857.519794464,0.13857192006927788,0.09105593884795016,1.473242548884719,1.8830386046376575,-0.11967841068414509,9,9.0
test,1/N rebal. alle 21T,1404483.1818275452,0.13456820915235546,0.08603132147459674,1.5130855416949176,1.9231273538532423,-0.11974265572887166,291,291.0
test,100% EUNL.DE B&H,1546470.3445968628,0.17591224837549757,0.1356095520478759,1.2650311059410664,1.5320729891403981,-0.21725769052753263,1,1.0
test,PPO seed 42,1312007.4442901611,0.10620274210627989,0.06268397478162821,1.6442032709754677,2.246884410772271,-0.068941699145175,19,19.0
test,PPO seed 43,1575032.2348508835,0.18393762058841467,0.14579648839419374,1.2332031564382326,1.525289952586111,-0.2318607096799833,21,21.0
test,PPO seed 44,1569937.7742767332,0.18251283246095262,0.14676159438473604,1.2178334761687861,1.5061496730591177,-0.23319032762555403,2,2.0
test,PPO seed 45,1569848.35928154,0.18248779948981975,0.1467458568372462,1.2178039664135265,1.5059623220797438,-0.23318714334560042,4,4.0
test,PPO seed 46,1570007.6186561584,0.18253238574292863,0.14664720695022687,1.218782216163326,1.5067041157880292,-0.2331051364945953,4,4.0
test,PPO seed 47,1517543.8891448975,0.16768806177962325,0.1260337629587473,1.2953572962786972,1.5952505565345665,-0.190681301312007,7,7.0
test,PPO seed 48,1612282.8381404877,0.19426870078603553,0.14573339669276292,1.293400776656383,1.6373731351933505,-0.2160745862556228,38,38.0
test,PPO seed 49,1589336.3822660446,0.1879227039938609,0.13495573530539715,1.3459026764462256,1.6610650414357624,-0.21474323354272828,57,57.0
valid,PPO seed 42,1104555.6713180542,0.10326418585394626,0.050168174363723346,1.9919246229450709,3.4911250672419247,-0.03257538431229989,7,7.0
valid,PPO seed 43,1210831.0762062073,0.2081089592757741,0.11529859961009267,1.7041577392571228,2.665479138791673,-0.07078627971767804,44,44.0
valid,PPO seed 44,1196855.5411376953,0.19432795232487576,0.11699108103673778,1.5826622361418352,2.466992741637063,-0.07080210059606895,1,1.0
valid,PPO seed 45,1196855.5411376953,0.19432795232487576,0.11699108103673778,1.5826622361418352,2.466992741637063,-0.07080210059606895,1,1.0
valid,PPO seed 46,1205600.9303703308,0.20295183310974507,0.11618046387592083,1.6551033687685262,2.6050658177924757,-0.07088812599410854,6,6.0
valid,PPO seed 47,1171044.8947582245,0.16887157514778872,0.10505463173549617,1.5439520791742778,2.3223963211075143,-0.07077181574917735,4,4.0
valid,PPO seed 48,1166460.696527481,0.16434961203160348,0.10706791654262028,1.480505630565551,2.3515898762619396,-0.06905168172679732,16,16.0
valid,PPO seed 49,1179800.4356822968,0.1775076727535443,0.08919825281868386,1.8840711362559863,3.0712289668132104,-0.06105410763306496,51,51.0
