Split,Strategie,Endwert,CAGR,Vola,Sharpe,Sortino,MaxDD,Orders,Gebuehren
test,1/N Buy & Hold,13994.58199596405,0.1334332179643265,0.08804129709538927,1.2441999778012285,1.5915884081848906,-0.11370845879596969,9,9.0
test,1/N rebal. alle 21T,13696.199517250061,0.1243901996177319,0.08318878162258482,1.2153028706049203,1.5421393664231837,-0.11663250031160743,130,130.0
test,100% EUNL.DE B&H,15435.408180236816,0.17512705181787735,0.13503672619678975,1.1182120288182418,1.3543442428628354,-0.21642257840950951,1,1.0
test,PPO seed 42,15007.369571685791,0.16286456021707707,0.13915928176637868,1.0135880509334665,1.2318045749270095,-0.2239574294530109,8,8.0
test,PPO seed 43,13986.228642463684,0.1328025399338879,0.12146152285579914,0.9260818275032332,1.165562996905374,-0.1696902562896767,13,13.0
test,PPO seed 44,15693.699462890623,0.18235384589841108,0.14669088623224036,1.082430029375251,1.3387255398790439,-0.2330876364844695,1,1.0
test,PPO seed 45,15543.400073051453,0.17813239516864154,0.1386165579305625,1.1113127429707381,1.3656067648734074,-0.22074347973910635,8,8.0
test,PPO seed 46,15693.699462890623,0.18235384589841108,0.14669088623224036,1.082430029375251,1.3387255398790439,-0.2330876364844695,1,1.0
test,PPO seed 47,12933.191617965698,0.10031982328468536,0.09733564367553652,0.8290823979610327,0.9896897026217869,-0.12166133030339155,38,38.0
test,PPO seed 48,14112.065565109253,0.13658008111486986,0.12525929443039335,0.9284792397830848,1.122631870356508,-0.20720049393800732,21,21.0
test,PPO seed 49,15989.42828655243,0.19058639112232334,0.1177407579283575,1.3749627929076724,1.807730364628275,-0.11200477117640961,38,38.0
valid,PPO seed 42,11739.380332946777,0.171725329169919,0.10134052025584482,1.425516349777979,2.1189505621687723,-0.07005311457750996,8,8.0
valid,PPO seed 43,11350.85131263733,0.1333943450369981,0.07798900013980535,1.3971789159160322,2.3429008463121344,-0.059716343219479606,15,15.0
valid,PPO seed 44,11949.320602416992,0.19243109700289396,0.11518696118857835,1.4198538141785895,2.2112178503121895,-0.06941950983885259,2,2.0
valid,PPO seed 45,11790.087993621826,0.17672686704518625,0.10563982057468098,1.412168201081695,2.1965057345629893,-0.06973846588112809,9,9.0
valid,PPO seed 46,11971.442072868347,0.1946126195479725,0.11396689101569943,1.4499471854220716,2.278043856007656,-0.07090987440050611,9,9.0
valid,PPO seed 47,10165.153141021729,0.016319439479100417,0.05332633209255435,-0.04005683225375233,-0.06944501496870184,-0.04146703318209777,43,43.0
valid,PPO seed 48,11289.269311904907,0.12731746522941334,0.08702417831749613,1.1986037870125517,1.8295788493850713,-0.07077108897343976,25,25.0
valid,PPO seed 49,10507.379492759705,0.050126316941459415,0.060450450112959575,0.5148864489739855,0.7751869671643622,-0.051334197246777125,25,25.0
